Cold War,Intermediate,Medium,1,Members,,30,0,30,34,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,0
Fairytale II - Cure a Queen,Intermediate,Medium,2,Members,Fairy Tale part 1 – Growing pains,0,0,0,0,0,0,49,0,0,0,57,0,0,0,0,0,0,0,0,0,0,40,0
My Arm's Big Adventure,Intermediate,Medium,1,Members,Eadgar's Ruse The Feud Jungle Potion Completion of Enakhra's Lament would be an advantage 60% Tai Bwo Wannia Cleanup favour Must be able to defeat a level 172 enemy,0,0,0,0,0,0,29,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,10
Scorpion Catcher,Intermediate,Long,1,Members,Alfred Grimhand Bar Crawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
Tai Bwo Wannai Trio,Intermediate,Long,2,Members,High agility and herblore defeat level 48 jogres,15,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,37,0
What Lies Below,Intermediate,Medium,1,Members,defeat level 47 king roald and 5 level 35 bandits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,35,0,0,0,0,0
Devious Minds,Experienced,Short,1,Members,Wanted Doric's Quest,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,65,0,0,0
Dream Mentor,Experienced,Short,2,Members,Lunar Diplomacy Edgar's Ruse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eadgar's Ruse,Experienced,Medium,1,Members,Troll Stronghold,47,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
Great Brain Robbery,Experienced,Medium,2,Members,Creature of Fenkenstrain Recipe for Disaster (Only the Pirate Pete section) Rum Deal Cabin Fever Access to a Player Owned House workshop Ability to defeat a level 190 monster without using Prayer,0,0,16,30,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
King's Ransom,Experienced,Medium,1,Members,Merlin's Crystal Holy Grail One Small Favour,0,0,0,0,0,65,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Underground Pass,Experienced,Long,5,Members,3 level 91 demons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
Desert Treasure,Master,Long,3,Members,The Tourist Trap Temple of Ikov Troll Stronghold Extremely tough enemies above level 150,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,10,0,0,53,0
Grim Tales,Master,Short-Medium,1,Members,Witch's House,59,0,0,0,0,0,45,0,0,0,52,0,0,0,0,0,0,0,0,0,0,58,71
Legends' Quest,Master,Long,4,Members,Family Crest Heroes' Quest The Underground Pass Shilo Village,50,0,50,0,0,0,0,0,0,0,45,0,0,56,52,43,0,0,0,50,50,50,50
Mourning's Ends Part I,Master,Long,2,Members,Roving Elves Big Chompy Bird Hunting,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,50,0
Mourning's Ends Part II (The Temple Of Light),Master,Long,2,Members,Mourning Ends part 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFD – Subquest 7 – Freeing Sir Amik Varze,Master,Long,10,Members,Lost City Legends Quest Beat level 227 Monster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFD – Subquest 8 – Freeing King Awowogei,Master,Long,10,Members,Monkey Madness,48,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFD – Part 3 - Fights,Master,Long,10,Members,Desert Treasure Horror from the deep beat tough high levelled monsters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regicide,Master,Long,3,Members,Underground pass level 110 Tyras Guard,56,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roving Elves,Master,Short,1,Members,Regicide level 84 moss giant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swan Song,Master,Medium,2,Members,One Small Favour Garden of Tranquillity beat level 170 monster,0,0,40,0,62,0,0,42,62,0,0,0,0,66,0,0,0,23,0,45,0,0,0
